Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE, 8.98115E-005,   -58.66, 0.000104589,  -176.54, 0.000101087,    55.21,          0,     0.00, 7.73723E-009,  -164.36, 8.98115E-005,   121.34, 0.000104589,     3.46, 0.000101087,  -124.79,          0,     0.00, 7.73723E-009,    15.64
Capacitor.CAP_611,    41.7019,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00,    41.7019,  -150.00,    41.7019,    30.00,          0,     0.00,          0,     0.00,          0,     0.00,    41.7019,    30.00
Capacitor.CAP_675,    83.2804,    90.00,    83.2804,   -30.00,    83.2804,  -150.00,          0,     0.00, 3.23681E-005,   159.58,    83.2804,   -90.00,    83.2804,   150.00,    83.2804,    30.00,          0,     0.00, 3.23681E-005,   -20.42
Line.632_633, 0.000842648,    85.92, 0.000925386,   -32.58, 0.000791775,  -142.62,          0,     0.00, 0.00025204,   -33.33, 0.000774502,    85.56, 0.000454486,   -35.26, 0.000724061,  -141.93,          0,     0.00, 0.000152634,   155.50
Line.632_645B, 0.000964316,   -30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000964316,   -30.00, 0.000448063,   150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000448063,   150.00
Line.632_645C, 0.000760145,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000760145,  -150.00, 0.000248704,    30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000248704,    30.00
Line.632_670, 0.00372692,    91.49, 0.00283246,   -33.34, 0.00373248,  -148.96,          0,     0.00, 0.000959847,   165.26, 0.00132213,   -94.20, 0.000624595,   165.30, 0.00171728,    27.73,          0,     0.00, 0.000895164,   -23.79
Line.645_646B, 0.000457529,   -30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000457529,   -30.00, 0.000147778,   150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000147778,   150.00
Line.645_646C, 0.000456086,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000456086,  -150.00, 0.000149222,    30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000149222,    30.00
Line.670_671, 0.00452799,    92.45, 0.00355037,   -35.33, 0.00433691,  -148.20,          0,     0.00, 0.00100019,   169.30, 0.000345896,   124.02, 0.000969729,   -49.86, 0.000334826,     6.02,          0,     0.00, 0.000872109,   -28.76
Line.671_680, 0.00191082,    94.36, 0.00178615,   -37.96, 0.00161531,  -146.38,          0,     0.00, 0.000119956,  -133.03,  0.0017097,    94.87, 0.00158656,   -38.96,   0.001414,  -145.86,          0,     0.00, 0.000119956,  -133.03
Line.671_684A, 0.000657855,    90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000657855,    90.00, 0.000350991,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000350991,   -90.00
Line.671_684C, 0.000861074,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000861074,  -150.00, 0.000551322,    30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000551322,    30.00
Line.684_611, 0.000813148,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000813148,  -150.00, 0.000195707,    30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000195707,    30.00
Line.RG60_632, 0.00647427,    92.57, 0.00641594,   -34.42, 0.00669153,  -148.25,          0,     0.00, 0.000967132,  -135.34, 0.000804119,   111.16, 0.000565914,   -90.88, 0.000675236,    12.40,          0,     0.00, 0.000488082,    42.39
Line.611C, 0.00010138,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.00010138,  -150.00, 0.000100384,    30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100384,    30.00
Line.634A, 1.16585E-005,    89.72,          0,     0.00,          0,     0.00,          0,     0.00, 1.16585E-005,    89.72, 1.15435E-005,   -90.29,          0,     0.00,          0,     0.00,          0,     0.00, 1.15435E-005,   -90.29
Line.634B, 1.16656E-005,   -30.21,          0,     0.00,          0,     0.00,          0,     0.00, 1.16656E-005,   -30.21, 1.15507E-005,   149.79,          0,     0.00,          0,     0.00,          0,     0.00, 1.15507E-005,   149.79
Line.634C, 1.16656E-005,  -150.21,          0,     0.00,          0,     0.00,          0,     0.00, 1.16656E-005,  -150.21, 1.15507E-005,    29.78,          0,     0.00,          0,     0.00,          0,     0.00, 1.15507E-005,    29.78
Line.645B, 0.000101378,   -30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101378,   -30.00, 0.000100382,   150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100382,   150.00
Line.646BC, 0.000101374,   -29.99, 0.000101374,  -150.01,          0,     0.00,          0,     0.00, 0.000101351,   -90.00, 0.000100393,   149.99, 0.000100393,    30.01,          0,     0.00,          0,     0.00, 0.000100416,    90.00
Line.652A, 0.00010138,    90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.00010138,    90.00, 0.000100384,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100384,   -90.00
Line.670A, 0.000101383,    90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101383,    90.00, 0.000100387,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100387,   -90.00
Line.670B, 0.000101381,   -30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101381,   -30.00, 0.000100385,   150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100385,   150.00
Line.670C, 0.000101381,  -150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101381,  -150.00, 0.000100384,    30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100384,    30.00
Line.675A, 0.000101375,    89.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101375,    89.99, 0.000100379,   -90.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100379,   -90.01
Line.675B, 0.000101381,   -30.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101381,   -30.00, 0.000100384,   150.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100384,   150.00
Line.675C, 0.000101374,  -150.01,          0,     0.00,          0,     0.00,          0,     0.00, 0.000101374,  -150.01, 0.000100378,    29.99,          0,     0.00,          0,     0.00,          0,     0.00, 0.000100378,    29.99
Line.684_652, 0.000302653,    90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000302653,    90.00, 0.000302653,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000302653,   -90.00
Line.692_675, 0.000504427,    90.00, 0.000504432,   -30.00, 0.000504426,  -150.00,          0,     0.00, 1.89811E-008,    17.81, 0.000504427,   -90.00, 0.000504432,   150.00, 0.000504426,    30.00,          0,     0.00, 1.89811E-008,  -162.19
Line.692AC, 0.000101373,    89.99, 0.000101372,  -149.99,          0,     0.00,          0,     0.00, 0.00010135,   150.00, 0.000100392,   -89.99, 0.000100392,    29.99,          0,     0.00,          0,     0.00, 0.000100414,   -30.00
