Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66402.2,   30.0,    1.0001, 2,    66402.2,  -90.0,    1.0001, 3,    66402.2,  150.0,    1.0001
"LOAD 611C", 4.16, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 634A", 0.48, 1,    277.157,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 634B", 0.48, 2,    277.157, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 634C", 0.48, 3,    277.157,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 645B", 4.16, 2,    2402.03, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 646", 4.16, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0
"LOAD 652", 4.16, 1,    2402.03,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 670A", 4.16, 1,    2402.03,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 670B", 4.16, 2,    2402.03, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 670C", 4.16, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 671", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"LOAD 675A", 4.16, 1,    2402.03,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 675B", 4.16, 2,    2402.03, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 675C", 4.16, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 692AC", 4.16, 1,    2402.03,    0.0,    1.0001, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0
"CAP_611", 4.16, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"CAP_675", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"632", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"BUS_633", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"645", 4.16, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0
"632_671", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"646", 4.16, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0
"671", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"680", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"684", 4.16, 1,    2402.03,    0.0,    1.0001, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0
"611", 4.16, 3,    2402.03,  120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"BUS_RG60", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"634", 0.48, 1,    277.157,    0.0,    1.0001, 2,    277.157, -120.0,    1.0001, 3,    277.157,  120.0,    1.0001
"652", 4.16, 1,    2402.03,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"675", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"692", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
"BUS 01", 4.16, 2,    2402.03, -120.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"BUS_650", 4.16, 1,    2402.03,    0.0,    1.0001, 2,    2402.03, -120.0,    1.0001, 3,    2402.03,  120.0,    1.0001
