,Bus,Top,Toff,flp,kVAr,VBP1,VBP2,VBP3,VBP4
1,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
2,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
3,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
4,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
5,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
6,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
7,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
8,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
9,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
10,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
11,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
12,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
13,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
14,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
15,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
16,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
17,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
18,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
19,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
20,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
